Value,Rechercheweg
Verbandsgemeinde Brohltal,publisher_name
Verbandsgemeinde Selters,publisher_name
Bezirksamt Friedrichshain-Kreuzberg/ Jugendamt,publisher_name
Aachen,publisher_name
Freie und Hansestadt Bremen,publisher_name
Archäologisches Museum Hamburg,publisher_name
"Behörde für Umwelt, Klima, Energie und Agrarwirtschaft (BUKEA)",publisher_name
Behörde für Inneres und Sport,publisher_name
Behörde für Stadtentwicklung und Wohnen (BSW),publisher_name
Bezirksamt Friedrichshain-Kreuzberg,publisher_name
"Bezirksamt Marzahn-Hellersdorf von Berlin, Finanzservice",publisher_name
"Bezirksamt Marzahn-Hellersdorf von Berlin, Finanzservice",publisher_name
"Bezirksamt Treptow-Köpenick, Büro des Bezirksbürgermeisters",publisher_name
Bonn,publisher_name
Duisburg,publisher_name
Düsseldorf,publisher_name
"Freie Hansestadt Bremen, der Senator für Kultur",publisher_name
Gelsenkirchen,publisher_name
Elbkinder - Vereinigung Hamburger Kindertagesstätten gGmbH,publisher_name
Köln,publisher_name
Senatsverwaltung für Gesundheit und Soziales Berlin,publisher_name
Neuss,publisher_name
Münster,publisher_name
Wuppertal,publisher_name
Bezirksamt Lichtenberg,publisher_name
Stadt Andernach,publisher_name
Aachen,publisher_name
Stadtverwaltung Leipzig,publisher_name
Behörde für Stadtentwicklung und Wohnen (BSW),publisher_name
"Behörde für Umwelt und Energie (BUE), Wasser, Abwasser und Geologie (W)",publisher_name
"Behörde für Umwelt und Energie (BUE), Immissionsschutz und Abfallwirtschaft (I)",publisher_name
Landesbetrieb Geoinformation und Vermessung,publisher_name
Bonn,publisher_name
Duisburg,publisher_name
Düsseldorf,publisher_name
Gelsenkirchen,publisher_name
Köln,publisher_name
Senatsverwaltung für Gesundheit und Soziales Berlin,publisher_name
Neuss,publisher_name
Münster,publisher_name
Stadt Wuppertal,publisher_name
Siegburg,publisher_name
Titz,publisher_name
Vettweiß,publisher_name
Bad Münstereifel,publisher_name
Amt Süderbrarup,publisher_name
"Bezirksamt Lichtenberg, Abteilung Schule, Sport und Facility Management, Serviceeinheit Facility Management",publisher_name
VMZ Berlin Betreibergesellschaft mbH,publisher_name
Verkehrs Management Zentrale Bremen,publisher_name
Stadt Dormagen,publisher_name
Stadt Dormagen (SWD),publisher_name
Feuerwehr Düsseldorf,publisher_name
Landeshauptstadt Düsseldorf - Kulturamt,publisher_name
Landeshauptstadt Düsseldorf - Kämmerei,publisher_name
Landeshauptstadt Düsseldorf - Stadtplanungsamt,publisher_name
Landeshauptstadt Düsseldorf – Amt für Statistik und Wahlen,publisher_name
Landeshauptstadt Düsseldorf – Sportamt,publisher_name
Landeshauptstadt Düsseldorf – Stadtentwässerungsbetrieb,publisher_name
"Stadt Frankfurt am Main, Straßenverkehrsamt Verkehrsmanagement",publisher_name
Stadt Fürstenwalde/Spree - Fachgruppe TUIV,publisher_name
StadtHamburg,publisher_name
Transparenzportal Hamburg: Behörde für Stadtentwicklung und Umwelt,publisher_name
Transparenzportal Hamburg: Behörde für Umwelt und Energie,publisher_name
Transparenzportal Hamburg: Behörde für Umwelt und Energie (BUE),publisher_name
"Transparenzportal Hamburg: Behörde für Umwelt und Energie (BUE), Immissionsschutz und Abfallwirtschaft (I)",publisher_name
"Transparenzportal Hamburg: Behörde für Umwelt und Energie (BUE), Naturschutz, Grünplanung und Bodenschutz (N)",publisher_name
"Transparenzportal Hamburg: Behörde für Umwelt und Energie (BUE), Wasser, Abwasser und Geologie (W)",publisher_name
"Transparenzportal Hamburg: Behörde für Umwelt und Energie (BUE), Wasser, Abwasser und Geologie (W), W1 - Wasserwirtschaft",publisher_name
"Transparenzportal Hamburg: Behörde für Umwelt und Energie (BUE), Wasser, Abwasser und Geologie (W), W1 - Wasserwirtschaft, Grundsatz, Wasserwirtschaftliche Grundlagen, Informationssysteme",publisher_name
"Transparenzportal Hamburg: Behörde für Umwelt und Energie (BUE), Wasser, Abwasser und Geologie (W), W1 - Wasserwirtschaft, Schutz und Bewirtschaftung der Oberflächengewässer",publisher_name
"Transparenzportal Hamburg: Behörde für Umwelt, Klima, Energie und Agrarwirtschaft (BUKEA)",publisher_name
"Transparenzportal Hamburg: Behörde für Verkehr und Mobilitätswende (BVM), Amt Verkehr",publisher_name
"Transparenzportal Hamburg: Behörde für Wirtschaft, Verkehr und Innovation, Amt für Verkehr und Straßenwesen",publisher_name
"Transparenzportal Hamburg: Finanzbehörde, Organisation und Zentrale Dienste",publisher_name
Transparenzportal Hamburg: Hamburg Port Authority,publisher_name
Transparenzportal Hamburg: Hamburger Hochbahn AG,publisher_name
Transparenzportal Hamburg: Hamburger Verkehrsbund GmbH,publisher_name
Transparenzportal Hamburg: Hamburger Verkehrsverbund GmbH,publisher_name
Transparenzportal Hamburg: Landesbetrieb Geoinformation und Vermessung,publisher_name
"Transparenzportal Hamburg: Landesbetrieb Straßen, Brücken und Gewässer",publisher_name
Transparenzportal Hamburg: Landesbetrieb Verkehr (LBV),publisher_name
"Transparenzportal Hamburg: Statistisches Amt für Hamburg und Schleswig-Holstein, Vertrieb des Statistikamts Nord",publisher_name
Stadt Heilbronn,publisher_name
Stadt Herrenberg,publisher_name
Karlsruher Verkehrsverbund (KVV),publisher_name
Stadt Karlsruhe,publisher_name
Stadt Kassel,publisher_name
Stadt Konstanz,publisher_name
Stadtwerke Konstanz,publisher_name
Kreis Herzogtum Lauenburg,publisher_name
"Kreis Paderborn, Amt für Geoinformation, Kataster und Vermessung",publisher_name
Barnimer Energiebeteiligungsgesellschaft mbH,publisher_name
Abfallwirtschaftsbetriebe Münster (AWM),publisher_name
Stadt Münster,publisher_name
Stadt Münster - Wahlamt,publisher_name
VAG Verkehrs-Aktiengesellschaft Nürnberg,publisher_name
Stadt Oldenburg (Oldb),publisher_name
Landeshauptstadt Potsdam (LHP),publisher_name
Digitale Agenda - Stadt Ulm,publisher_name
SWU Stadtwerke Ulm/Neu-Ulm GmbH,publisher_name
